,AUC_train,AUC_test,Gini_train,Gini_test,KS_train,KS_test,PSI,Brier_test
Logistic Regression,0.8783709395815082,0.8684779014413402,0.7567418791630165,0.7369558028826804,0.6161446560768509,0.5972649175358867,0.014146113909258212,0.10044346431350618
XGBoost,0.9550709517045318,0.932142007437282,0.9101419034090636,0.8642840148745641,0.7627604933483213,0.7169408570482292,0.001439244286254431,0.06019334867596626
